Recent,Second Recent,Third Recent,Fourth Recent
AAPL,01/27/2022,10/28/2021,07/27/2021,04/28/2021
MSFT,01/25/2022,10/26/2021,07/27/2021,04/27/2021
GOOG,02/01/2022,10/26/2021,07/27/2021,04/27/2021
AMZN,02/03/2022,10/28/2021,07/29/2021,04/29/2021
TSLA,04/20/2022,01/26/2022,10/20/2021,07/26/2021
BRK-A,03/01/2022,02/25/2022,11/05/2021,08/06/2021
FB,02/02/2022,10/25/2021,07/28/2021,04/28/2021
UNH,04/14/2022,01/19/2022,10/14/2021,07/15/2021
NVDA,02/16/2022,11/17/2021,08/18/2021,05/26/2021
JNJ,04/19/2022,01/25/2022,10/19/2021,07/21/2021
V,01/27/2022,10/26/2021,07/27/2021,04/27/2021
WMT,02/17/2022,11/16/2021,08/17/2021,05/18/2021
PG,04/20/2022,01/19/2022,10/19/2021,07/30/2021
JPM,04/13/2022,01/14/2022,10/13/2021,07/13/2021
XOM,02/01/2022,10/29/2021,07/30/2021,04/30/2021
MA,01/27/2022,10/28/2021,07/29/2021,04/29/2021
CVX,01/28/2022,10/29/2021,07/30/2021,04/30/2021
HD,02/22/2022,11/16/2021,08/17/2021,05/18/2021
BAC,04/18/2022,01/19/2022,10/14/2021,07/14/2021
KO,02/10/2022,10/27/2021,07/21/2021,04/19/2021
ABBV,02/02/2022,10/29/2021,07/30/2021,04/30/2021
PFE,02/08/2022,11/02/2021,07/28/2021,05/04/2021
LLY,02/03/2022,10/26/2021,08/03/2021,04/27/2021
COST,03/03/2022,12/09/2021,09/23/2021,05/27/2021
AVGO,03/03/2022,12/09/2021,09/02/2021,06/03/2021
PEP,02/10/2022,10/05/2021,07/13/2021,04/15/2021
TMO,02/02/2022,10/27/2021,07/28/2021,04/29/2021
VZ,01/25/2022,10/20/2021,07/21/2021,04/21/2021
DIS,02/09/2022,11/10/2021,08/12/2021,05/13/2021
MRK,02/03/2022,10/28/2021,07/29/2021,04/29/2021
CSCO,02/16/2022,11/17/2021,08/18/2021,05/19/2021
ABT,04/20/2022,01/26/2022,10/20/2021,07/22/2021
CMCSA,01/27/2022,10/28/2021,07/29/2021,04/29/2021
ORCL,03/10/2022,12/09/2021,09/13/2021,06/15/2021
NKE,03/21/2022,12/20/2021,09/23/2021,06/24/2021
ADBE,03/22/2022,12/16/2021,09/21/2021,06/17/2021
DHR,04/21/2022,01/27/2022,10/21/2021,07/22/2021
INTC,01/26/2022,10/21/2021,07/22/2021,04/22/2021
MCD,01/27/2022,10/27/2021,07/28/2021,04/29/2021
WFC,04/14/2022,01/14/2022,10/14/2021,07/14/2021
CRM,03/01/2022,11/30/2021,08/25/2021,05/27/2021
UPS,02/01/2022,10/26/2021,07/27/2021,04/27/2021
BMY,02/04/2022,10/27/2021,07/28/2021,04/29/2021
TMUS,02/02/2022,11/02/2021,07/29/2021,05/04/2021
TXN,01/25/2022,10/26/2021,07/21/2021,04/27/2021
PM,04/21/2022,02/10/2022,10/19/2021,07/20/2021
RTX,01/25/2022,10/26/2021,07/27/2021,04/27/2021
QCOM,02/02/2022,11/03/2021,07/28/2021,04/28/2021
MS,04/14/2022,01/19/2022,10/14/2021,07/15/2021
UNP,04/21/2022,01/20/2022,10/21/2021,07/22/2021