Stock,Most Recent Suprise, 2nd Recent Suprise
AAPL,AAPL,11.11,0.1
MSFT,MSFT,8.3,10.19
GOOG,GOOG,14.99,21.01
AMZN,AMZN,61.33,-32.75
TSLA,TSLA,42.5,-12.02
BRK-A,BRK-A,15.4,-4.3
FB,FB,-2.29,0.62
UNH,UNH,1.67,4.19
NVDA,NVDA,-12.87,6.32
JNJ,JNJ,2.69,0.47
V,V,8.45,7.1
WMT,WMT,2,4.32
PG,PG,3.91,0.61
JPM,JPM,-3.66,11.74
XOM,XOM,4.59,0.64
MA,MA,7.31,8.72
CVX,CVX,-17.68,33.94
HD,HD,0.31,14.96
BAC,BAC,5.26,7.89
KO,KO,12.5,12.07
ABBV,ABBV,6.1,3.1
PFE,PFE,2.7,12.07
LLY,LLY,-0.8,-2.02
COST,COST,8.55,14.67
AVGO,AVGO,4.47,3.55
PEP,PEP,0.01,3.47
TMO,TMO,2.52,23.34
VZ,VZ,2.34,3.68
DIS,DIS,85.96,-26
MRK,MRK,23.29,13.64
CSCO,CSCO,5.48,1.39
ABT,ABT,17.69,11.86
CMCSA,CMCSA,5.48,16
ORCL,ORCL,-6,22.68
NKE,NKE,19.18,31.75
ADBE,ADBE,-2.53,2.59
DHR,DHR,-4.15,7.6
INTC,INTC,-21.11,4.05
MCD,MCD,3.46,12.2
WFC,WFC,8.64,26.61
CRM,CRM,13.5,-38
UPS,UPS,15.43,7.54
BMY,BMY,0.04,4.71
TMUS,TMUS,39.02,56.75
TXN,TXN,16.41,0.49
PM,PM,5.41,3.85
RTX,RTX,6.93,17.76
QCOM,QCOM,6.86,8.74
MS,MS,21.89,4
UNP,UNP,0.78,2.31